"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C5,C6,C7,C8,C17,C18,C27,C29,C31,C33","13","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C3","1","C","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C9,C10","2","100uF","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~"
"C11,C12,C13,C14,C15,C16","6","100pF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C19","1","470pF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C20","1","200nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C21,C22,C23,C24,C25,C26","6","1nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C28,C30,C32,C34","4","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1,D2,D3,D4,D5,D6","6","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"D7,D8,D9","3","UF4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/88755/uf4001.pdf"
"EN1","1","BLUE - 3MM","","","","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf"
"FAULT1","1","RED - 3MM","","","","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf"
"J1","1","Conn_01x10_Pin","","","","Connector_JST:JST_XH_S10B-XH-A-1_1x10_P2.50mm_Horizontal","~"
"J2","1","Conn_01x03_Pin","","","","Connector_Phoenix_MC_HighVoltage:PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical","~"
"R1,R2_T1,R4,R6,R8,R10,R12,R20,R22","9","1K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R1_T1","1","10k Ω","","","","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","~"
"R2,R3,R9,R11,R19","5","200","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R5,R7","2","R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R13,R14,R15,R16,R17,R18","6","200","","","","Resistor_SMD:R_0805_2012Metric","~"
"R21","1","1.3K","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R23,R24,R25,R47","4","3KΩ","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"R26","1","0.11 Ω","","","","Resistor_THT:R_Axial_Power_L38.0mm_W6.4mm_P45.72mm","~"
"R27","1","1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R28","1","200KΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R29,R31,R33,R35,R36,R37","6","10Ω","","","","Resistor_SMD:R_1206_3216Metric","~"
"R30,R32,R34,R38,R39,R40","6","17Ω","","","","Resistor_SMD:R_1206_3216Metric","~"
"R41,R42,R43,R44,R45,R46","6","22Ω","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"STP20NM60FP1,STP20NM60FP2,STP20NM60FP3,STP20NM60FP4,STP20NM60FP5,STP20NM60FP6","6","STP20NM60FP","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/stp20nm60.pdf"
"TVS1,TVS2,TVS3,TVS4,TVS5,TVS6","6","P6KE18CA","","","","Diode_THT:D_DO-15_P12.70mm_Horizontal","https://makerselectronics.com/wp-content/uploads/2023/04/p6ke.pdf"
"U1","1","IR2136S","","","","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","https://docs.rs-online.com/e522/0900766b800b05f3.pdf"
"U2,U4,U5,U6,U7,U8","6","6N137","","","","Package_DIP:DIP-8_W7.62mm","https://docs.broadcom.com/docs/AV02-0940EN"
"U3","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U9,U10","2","PC817","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"VCC_5V1","1","yellow - 3MM","","","","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf"
"VCC_15","1","GREEN - 3MM","","","","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf"
